customer_tweet_id,customer_text,intent,escalate,escalation_reason,notes,reply_text,evaluation
2789083,bravo les mecs. J'ai ma livraison prime en point relais parce que le livreur a pas sonné. À quoi ça sert de proposer un service payant si vous êtes pas capable de le réaliser?,subscription_membership,False,routine support request,assistant-reviewed first pass; human audit recommended,"Bonsoir, je suis désolé d'apprendre cela. Avez-vous contacté notre service client afin de remonter l'information au service concerné ^ME",assistant_reviewed
2469471,Jajajajajajaja era una broma pero muchas gracias 😂👌🏻👌🏻,general_support,False,routine support request,assistant-reviewed first pass; human audit recommended,"Vale Berges 😂, igualmente estamos para ayudarte en caso de que tengas alguna consulta. ¡Saludos! ^FZ",assistant_reviewed
210328,WHERE IS MY PACKAGE,delivery_tracking,False,routine support request,assistant-reviewed first pass; human audit recommended,"Hey, we'd like to help out! Most deliveries are made until 8 PM. What does the tracking say here: https://t.co/Y5jpI9gRhE? ^WJ",assistant_reviewed
2805067,Do you guys see this? It's 8:40 btw. Rep says delivery stopped at 8PM. #HowSway https://t.co/citMeHV6zQ,delivery_tracking,False,routine support request,assistant-reviewed first pass; human audit recommended,Thanks for keeping us updated. Please let us know if you continue to have delivery trouble in the future. ^LI,assistant_reviewed
2402448,Done yesterday! No reply yet? Shall I expect same service here too?,general_support,True,"repeated, delayed, or formal complaint",assistant-reviewed first pass; human audit recommended,"If you've shared your details in the link provided earlier by ^PJ, you should've received an email from our team here: https://t.co/NTkrxpsbHJ please check. ^KA",assistant_reviewed
2773034,Unable to apply hdfc instant 1500 discount on amazon.in after it applied on first order but cancelled.,delivery_tracking,False,routine support request,assistant-reviewed first pass; human audit recommended,"If you weren't able to avail the instant discount, you may still go ahead and complete the transaction or try purchasing again, Amit. You'd then receive a cash back of Rs. 1500. Please refer to this page for more information: https://t.co/echUdqV9QD ^JC",assistant_reviewed
1031879,will the new fire tv with 4k support work in India for Amazon prime and Netflix if bought from the USA?,technical_issue,False,routine support request,assistant-reviewed first pass; human audit recommended,"You might want to check with our Fire TV support team here: https://t.co/vMxZIAf2qu for details on this, Apurva. ^JC",assistant_reviewed
1020916,tengo un error a la hora de registrar pueden ayudarme...,technical_issue,False,routine support request,assistant-reviewed first pass; human audit recommended,"Hola, Shelomo. Por favor contáctanos a través del siguiente enlace: https://t.co/nVlEtq7hsw. ^JQ",assistant_reviewed
575983,. Com I suppose. I was using Amazon application in my android.,technical_issue,False,routine support request,assistant-reviewed first pass; human audit recommended,What was the delivery date we gave at the checkout and in the confirmation email?^SM,assistant_reviewed
181155,why are your german department blocking honest users?,general_support,False,routine support request,assistant-reviewed first pass; human audit recommended,"Can you tell us, what happened? ^UK",assistant_reviewed
427300,what is up with your delivery service? Drivers suddenly ignoring my safe place instruction - after 2 yrs of #prime membership! 😡,delivery_tracking,False,routine support request,assistant-reviewed first pass; human audit recommended,Apologies - We would like to escalate this with the carrier. Please reach out : https://t.co/JzP7hlA23B ^TP,assistant_reviewed
230948,なんでーーーあまぞんぬちゃんなんでーーーー なんで昨日注文した商品の配達予定が17日から31日なのなんでなんでーーーーーーー,general_support,False,routine support request,assistant-reviewed first pass; human audit recommended,アマゾンです。お届け予定日は商品の発送元や、在庫状況、お支払方法など様々な情報を元に計算されております。https://t.co/qwo84RClom ET,assistant_reviewed
1467714,welcome to Amazon https://t.co/B3KMd1Ae2d,general_support,False,routine support request,assistant-reviewed first pass; human audit recommended,I would like one of our team members to look into this for you. Please fill out this form: https://t.co/tkLCr7DNil ^BA,assistant_reviewed
2896000,your order dates are really messed up right now. https://t.co/Pvi8Ir0SpS,delivery_tracking,False,routine support request,assistant-reviewed first pass; human audit recommended,"I'm sorry to see there's a problem with your delivery! Have you been able to contact the carrier for additional insight? If so, what information was provided? ^CS",assistant_reviewed
969378,You services are getting worst day by day. Customer care is helpless. Courier boys are not supportive at all. Frustrating,general_support,False,routine support request,assistant-reviewed first pass; human audit recommended,"I'm sorry to see you upset, write to us here: https://t.co/GIJyeYqKE0 &amp; we'll be glad to help you. ^MJ",assistant_reviewed
567575,none of the issue options seem to fit my problem,technical_issue,False,routine support request,assistant-reviewed first pass; human audit recommended,"You can just choose the options closest to yours to be routed to the correct team. So, select Devices &gt; Fire TV Stick &gt; I am having problems streaming videos. Then, choose phone or chat. 😊 ^AM",assistant_reviewed
248705,What Service Standard Not able to deliver the product even after 12 days and refund the amount as a favour !! Pathetic !,delivery_tracking,False,routine support request,assistant-reviewed first pass; human audit recommended,That's rather strange. Please report this to our support team here: https://t.co/vlvfJr4nN9 ^JC,assistant_reviewed
231548,Ok it's just that in products on site price is 475 and when it comes to yours it jumped 500rs,payment_billing,True,financial or refund request,assistant-reviewed first pass; human audit recommended,The price mentioned on our website is the best we can currently offer. I'll surely pass on your feedback to the concerned team. ^MP,assistant_reviewed
2964013,"Trying to do some holiday shopping and has screwed up 1/2 the deliveries. I'm done. ""Prime"" is a joke. Off to the mall I go. I'd rather deal with idiot people in person than idiot people who sit behind ""noreply"" email addresses. 😠",delivery_tracking,False,routine support request,assistant-reviewed first pass; human audit recommended,"I'm so sorry to hear this, Jordy! We like our customers to have a great experience with us, and it seems we've let you down! Without posting personal account information, tell us more about your situation. We're here to help! ^FR",assistant_reviewed
652079,*sigh* another simple issue another ball dropped three times. No simple solutions even to simple problems with amazon customer support. No progress from last time,technical_issue,False,routine support request,assistant-reviewed first pass; human audit recommended,"I'm sorry to hear this. Without posting personal or account information, can you tell us more about the issue? ^LI",assistant_reviewed
1131303,Your team has been working on it for 2 weeks.that shows your efficiency &amp; customer consciousness is better,subscription_membership,True,"repeated, delayed, or formal complaint",assistant-reviewed first pass; human audit recommended,I understand there has been a long delay. We'll get this checked and get back to you soon. Appreciate your understanding. ^HD,assistant_reviewed
805619,Thank you for early delivery. Now please make sure that next delivery do not get late under any reasons. As I'm living Ahd on 16,delivery_tracking,False,routine support request,assistant-reviewed first pass; human audit recommended,"We will ensure to meet the promised estimated date on the order. Thanks for keeping us posted, nonetheless. ^CB",assistant_reviewed
1366939,HELLO AMAZON WHERE IS MY MARIO GAME.,general_support,False,routine support request,assistant-reviewed first pass; human audit recommended,I'm sorry your game hasn't arrived. Can you please tell us the intended delivery date stated in your order confirmation e-mail? ^AC,assistant_reviewed
2740661,Well the price under related is 6+k although when I click and visit the page it says 9+k ... isn’t that false advertising,delivery_tracking,False,routine support request,assistant-reviewed first pass; human audit recommended,"That's strange, Stanley. Could you share the link to the product on the website so that we can check and assist you accordingly? ^NK",assistant_reviewed
517690,"Not having delays, you guys are starting to false advertise. Posting two day delivery but really it’s 3-7, transport to USPS might save you money but aggravates clients like myself.",delivery_tracking,False,routine support request,assistant-reviewed first pass; human audit recommended,I certainly understand your concern! We strive to meet the date given in check out. Our two-day shipping refers to transit time as some items may need additional processing time. You can view more information here: https://t.co/RZbR8qrxUK. We hope this helps. ^HC,assistant_reviewed
2171081,Can you please help ! not providing any help/support. https://t.co/KPmVQ7aW2c,general_support,False,routine support request,assistant-reviewed first pass; human audit recommended,"My apologies, Shiv. Could you please let us know how may we help you ? ^KS",assistant_reviewed
2891937,"I’m in the Uk, is this only available in the US?",general_support,False,routine support request,assistant-reviewed first pass; human audit recommended,Correct! It appears only https://t.co/nUUp5MLhYl has this show available on Prime.,assistant_reviewed
1434048,He's wanted to finish early for Halloween so said he couldn't find an address. Never happened before with any Amazon deliveries.,delivery_tracking,False,routine support request,assistant-reviewed first pass; human audit recommended,I'm sorry you haven't received your orders yet! Please call or chat with us here for options: https://t.co/kzbViJKOhB ^MB,assistant_reviewed
284795,"What's the update, still waiting for a resolution.",general_support,True,"repeated, delayed, or formal complaint",assistant-reviewed first pass; human audit recommended,Our team is working on it. Request you to wait for an update and we'll get back soon. ^GD,assistant_reviewed
1565887,Thank you. Hopefully this movie will get added to the library soon.,subscription_membership,False,routine support request,assistant-reviewed first pass; human audit recommended,You're welcome. Do keep us posted for any further concerns. ^SG,assistant_reviewed
